question_id,question,response,score
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في الشمال الشرقي لقارة إفريقيا على سواحل البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب, الشمال الشرقي لقارة إفريقيا على سواحل البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,على سواحل البحر المتوسط والمحيط الأطلنطي,1
1,ما هو الموقع الجغرافي لبلاد المغرب,شمال قارة إفريقيا على سواحل البحرالابيض المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في الشمال الشرقي لقارة إفريقيا,1
1,ما هو الموقع الجغرافي لبلاد المغرب,قارة إفريقيا,1
1,ما هو الموقع الجغرافي لبلاد المغرب,تتواجد في قارة إفريقيا,1
1,ما هو الموقع الجغرافي لبلاد المغرب, الشمال الشرقي لقارة إفريقيا على البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب, في قارة إفريقيا على ساحل البحر المتوسط,1
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في الشمال الشرقي لقارة إفريقيا على ساحل المحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في قارة إفريقيا على ساحل المحيط الأطلنطي,1
1,ما هو الموقع الجغرافي لبلاد المغرب, إفريقيا ,1
1,ما هو الموقع الجغرافي لبلاد المغرب,اسيا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,اوروبا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في الجنوب الغربي لقارة إفريقيا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب هو شمال الشرقي لقارة إفريقيا,2
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع على سواحل البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في البحر المتوسط والمحيط الأطلنطي,1
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في إفريقيا على  البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في امريكا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في الشمال قارة إفريقيا على سواحل البحر,1
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في الشمال,0
1,ما هو الموقع الجغرافي لبلاد المغرب, الشمال,0
1,ما هو الموقع الجغرافي لبلاد المغرب,الشمال قارة إفريقيا على البحر المتوسط,1
1,ما هو الموقع الجغرافي لبلاد المغرب, في الشمال الشرقي لإفريقيا على المحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في الشمال الشرقي لقارة إفريقيا على سواحل البحر الأطلنطي ,2
1,ما هو الموقع الجغرافي لبلاد المغرب,غرب قارة إفريقيا على البحر المتوسط,0
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع على سواحل المحيط الأطلنطي,1
1,ما هو الموقع الجغرافي لبلاد المغرب,على سواحل المحيط الأطلنطي و البحر المتوسط,2
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في الشمال على سواحل البحر المتوسط والمحيط الأطلنطي,1
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع في الشمال الشرقي لقارة إفريقيا على البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب, في الشمال قارة إفريقيا على سواحل ,1
1,ما هو الموقع الجغرافي لبلاد المغرب,يقع المغرب في شمال شرق إفريقيا على سواحل البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يقع في شمال شرق قارة إفريقيا ويطل على سواحل البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,يطل المغرب على السواحل الشمالية الشرقية لإفريقيا ويقع بين البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,يحتل المغرب موقعًا في الجزء الشمالي الشرقي من إفريقيا ويطل على البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع الدولة المغربية في شمال شرق إفريقيا بجوار البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,الدولة المغربية تقع في شمال شرق قارة إفريقيا وتطل على السواحل الشمالية للبحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يحتل موقعًا في الشمال الشرقي من قارة إفريقيا ويقع بين البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,الدولة المغربية تحتل موقعًا في الجزء الشمالي الشرقي من إفريقيا وتطل على البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,توجد دولة المغرب في شمال شرق إفريقيا وتطل على السواحل الشمالية للبحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يوجد في الجزء الشمالي الشرقي من قارة إفريقيا ويطل على البحر المتوسط والمحيط الأطلنطي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يقع في الشمال الشرقي لأفريقيا ويمتد على سواحل البحر الأبيض المتوسط والمحيط الأطلسي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,الشمال الشرقي من قارة إفريقيا هو موقع المغرب وتحيط به مياه البحر الأبيض المتوسط والمحيط الأطلسي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,بلد المغرب يتواجد في الشمال الشرقي من قارة إفريقيا وتمتد سواحله على البحر الأبيض المتوسط والمحيط الأطلسي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب بلد يمتد على السواحل الشمالية الشرقية لقارة إفريقيا حيث تتواجد مياه البحر الأبيض المتوسط والمحيط الأطلسي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,الشمال الشرقي لأفريقيا هو موقع المغرب الذي يقع على سواحل البحر الأبيض المتوسط والمحيط الأطلسي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب بلد عربي يقع في الشمال الشرقي لأفريقيا حيث يمتد على سواحل البحر الأبيض المتوسط والمحيط الأطلسي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,بلد المغرب يوجد في الشمال الشرقي من أفريقيا وتمتد سواحله على البحر الأبيض المتوسط والمحيط الأطلسي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,الشمال الشرقي لأفريقيا يضم المغرب الذي يمتد على سواحل البحر الأبيض المتوسط والمحيط الأطلسي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب بلد عربي يتمركز في الشمال الشرقي من قارة إفريقيا حيث تحيط به مياه البحر الأبيض المتوسط والمحيط الأطلسي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب هي دولة عربية تقع على ساحل البحر الأطلسي في شمال غرب إفريقيا,2
1,ما هو الموقع الجغرافي لبلاد المغرب,يقع المغرب في شمال غرب إفريقيا ويحده المحيط الأطلسي من الغرب,2
1,ما هو الموقع الجغرافي لبلاد المغرب,الشاطئ الأطلسي هو المكان الذي تقع فيه المملكة المغربية في شمال غرب قارة إفريقيا,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب هي دولة توجد على ساحل البحر الأطلسي في شمال غرب إفريقياويمتد إلى الشمال منها البحر المتوسط,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب هي دولة عربية تقع على ساحل البحر الأطلسي في شمال غرب إفريقيا,2
1,ما هو الموقع الجغرافي لبلاد المغرب,بلاد المغرب هي دولة في أمريكا الجنوبية,0
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب هو اسم لإحدى الجزر الواقعة في المحيط الهادئ,0
1,ما هو الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب هو في قارة آسيا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب هو اسم لإحدى الدول الأوروبية,0  
1,ما هو الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع في قارة أمريكا الشمالية,0
1,ما هو الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع في المحيط الهندي,0
1,ما هو الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب هو في قارة أمريكا الجنوبية,0
1,ما هو الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع في قارة أستراليا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع في القطب الشمالي,0
1,ما هو الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب هو في أمريكا الجنوبية,0
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب هو اسم لإحدى الجزر الواقعة في المحيط الأطلسي,0
1,ما هو الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع في قارة أوروبا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب هو في قلب الصحراء الكبرى,0
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب هو جزء من أستراليا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب هو في جنوب أمريكا الوسطى,0
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب هو في القطب الجنوبي,0
1,ما هو الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع في القطب الشمالي,0
1,ما هو الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب هو في الصين,0
1,ما هو الموقع الجغرافي لبلاد المغرب,لاد المغرب تقع في جنوب شرق آسيا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب هو في الصين,0
1,ما هو الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع في أفريقيا الوسطى,0
1,ما هو الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع في المحيط الأطلسي,0
1,ما هو الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب هو في روسيا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب هو في جزر البهاما,0
1,ما هو الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع في شمال أمريكا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب هو في جنوب إفريقيا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب هو في شرق أفريقيا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع في شرق أوروبا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,الساحل الغربي لأستراليا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,في المحيط الهادي بالقرب من جزر هاواي,0
1,ما هو الموقع الجغرافي لبلاد المغرب, في قلب أوروبا بالقرب من فرنسا,0
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يقع في شمال غرب أفريقيا على الساحل الغربي للقارة الأفريقية,1
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يقع في منطقة المغرب العربي في شمال غرب أفريقيا ويحده من الشرق الجزائر ومن الغرب المحيط الأطلسي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يقع في شمال غرب أفريقيا على الساحل الغربي للقارة الأفريقية ويحده من الشرق الجزائر,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يقع في شمال غرب أفريقيا على الساحل الغربي للقارة الأفريقية ويحده من الشرق الجزائر ومن الغرب المحيط الأطلسي,2
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يقع في شمال غرب قارة إفريقيا على ساحل البحر الأطلسي,1
1,ما هو الموقع الجغرافي لبلاد المغرب,قرب إسبانيا,1
1,ما هو الموقع الجغرافي لبلاد المغرب,بين الأطلسي والمتوسط,1
1,ما هو الموقع الجغرافي لبلاد المغرب,جنوب أوروبا,1
1,ما هو الموقع الجغرافي لبلاد المغرب,في المغرب العربي,1
1,ما هو الموقع الجغرافي لبلاد المغرب,بجوار الجزائر,1
1,ما هو الموقع الجغرافي لبلاد المغرب,يطل على المحيط الأطلسي,1
1,ما هو الموقع الجغرافي لبلاد المغرب,يحده المحيط الأطلسي من الغرب,1
1,ما هو الموقع الجغرافي لبلاد المغرب,يحده البحر الأبيض المتوسط من الشمال,1
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يقع في الزاوية الشمالية الغربية من إفريقيا,1
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يقع على الساحل الشمالي للقارة الأفريقية,1
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يقع في القسم الشمالي من قارة إفريقيا,1
1,ما هو الموقع الجغرافي لبلاد المغرب,تقع بلاد المغرب في شمال إفريقيا,1
1,ما هو الموقع الجغرافي لبلاد المغرب,تحده المحيط الأطلسي من الغرب والمتوسط من الشمال,1
1,ما هو الموقع الجغرافي لبلاد المغرب,المغرب يقع بين الجزائر وموريتانيا ,1
2,أين يوجد أكبر مسجد في شمال إفريقيا؟  وما هو الاسم الأشهر له؟,المسجد الأعظم,0
2,أين يوجد أكبر مسجد في شمال إفريقيا؟  وما هو الاسم الأشهر له؟,يوجد مسجد الحسن الثاني في الدار البيضاء وهو الأكبر في شمال إفريقيا,2
2,أين يوجد أكبر مسجد في شمال إفريقيا؟  وما هو الاسم الأشهر له؟,موجود أكبر مسجد في شمال إفريقيا في الدار البيضاء وهو يعرف باسم مسجد الحسن الثاني,2
