question_id,question,response,score
1,الموقع الجغرافي لبلاد المغرب,تقع الشمال الشرقي لقاره افريقيا علي سواحل البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,الشمال الشرقي لقاره افريقيا علي سواحل البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,علي سواحل البحر المتوسط والمحيط الاطلنطي,1
1,الموقع الجغرافي لبلاد المغرب,قاره افريقيا علي سواحل البحرالابيض المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,تقع الشمال الشرقي لقاره افريقيا,1
1,الموقع الجغرافي لبلاد المغرب,قاره افريقيا,1
1,الموقع الجغرافي لبلاد المغرب,تتواجد قاره افريقيا,1
1,الموقع الجغرافي لبلاد المغرب,الشمال الشرقي لقاره افريقيا علي البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,قاره افريقيا علي ساحل البحر المتوسط,1
1,الموقع الجغرافي لبلاد المغرب,تقع الشمال الشرقي لقاره افريقيا علي ساحل المحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,تقع قاره افريقيا علي ساحل المحيط الاطلنطي,1
1,الموقع الجغرافي لبلاد المغرب,افريقيا,1
1,الموقع الجغرافي لبلاد المغرب,اسيا,0
1,الموقع الجغرافي لبلاد المغرب,اوروبا,0
1,الموقع الجغرافي لبلاد المغرب,تقع الجنوب الغربي لقاره افريقيا,0
1,الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب الشرقي لقاره افريقيا,2
1,الموقع الجغرافي لبلاد المغرب,تقع علي سواحل البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,تقع البحر المتوسط والمحيط الاطلنطي,1
1,الموقع الجغرافي لبلاد المغرب,تقع افريقيا علي البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,تقع امريكا,0
1,الموقع الجغرافي لبلاد المغرب,تقع الشمال قاره افريقيا علي سواحل البحر,1
1,الموقع الجغرافي لبلاد المغرب,تقع الشمال,0
1,الموقع الجغرافي لبلاد المغرب,الشمال,0
1,الموقع الجغرافي لبلاد المغرب,الشمال قاره افريقيا علي البحر المتوسط,1
1,الموقع الجغرافي لبلاد المغرب,الشمال الشرقي لافريقيا علي المحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,تقع الشمال الشرقي لقاره افريقيا علي سواحل البحر الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,غرب قاره افريقيا علي البحر المتوسط,0
1,الموقع الجغرافي لبلاد المغرب,تقع علي سواحل المحيط الاطلنطي,1
1,الموقع الجغرافي لبلاد المغرب,علي سواحل المحيط الاطلنطي البحر المتوسط,2
1,الموقع الجغرافي لبلاد المغرب,تقع الشمال علي سواحل البحر المتوسط والمحيط الاطلنطي,1
1,الموقع الجغرافي لبلاد المغرب,تقع الشمال الشرقي لقاره افريقيا علي البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,الشمال قاره افريقيا علي سواحل,1
1,الموقع الجغرافي لبلاد المغرب,يقع المغرب شرق افريقيا علي سواحل البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,المغرب يقع شرق قاره افريقيا ويطل علي سواحل البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,يطل المغرب علي السواحل الشماليه الشرقيه لافريقيا ويقع البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,يحتل المغرب موقعا الجزء الشمالي الشرقي افريقيا ويطل علي البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,تقع الدوله المغربيه شرق افريقيا بجوار البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,الدوله المغربيه تقع شرق قاره افريقيا وتطل علي السواحل الشماليه للبحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,المغرب يحتل موقعا الشمال الشرقي قاره افريقيا ويقع البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,الدوله المغربيه تحتل موقعا الجزء الشمالي الشرقي افريقيا وتطل علي البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,توجد دوله المغرب شرق افريقيا وتطل علي السواحل الشماليه للبحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,المغرب يوجد الجزء الشمالي الشرقي قاره افريقيا ويطل علي البحر المتوسط والمحيط الاطلنطي,2
1,الموقع الجغرافي لبلاد المغرب,المغرب يقع الشمال الشرقي لافريقيا ويمتد علي سواحل البحر الابيض المتوسط والمحيط الاطلسي,2
1,الموقع الجغرافي لبلاد المغرب,الشمال الشرقي قاره افريقيا موقع المغرب وتحيط مياه البحر الابيض المتوسط والمحيط الاطلسي,2
1,الموقع الجغرافي لبلاد المغرب,بلد المغرب يتواجد الشمال الشرقي قاره افريقيا وتمتد سواحله علي البحر الابيض المتوسط والمحيط الاطلسي,2
1,الموقع الجغرافي لبلاد المغرب,المغرب بلد يمتد علي السواحل الشماليه الشرقيه لقاره افريقيا تتواجد مياه البحر الابيض المتوسط والمحيط الاطلسي,2
1,الموقع الجغرافي لبلاد المغرب,الشمال الشرقي لافريقيا موقع المغرب يقع علي سواحل البحر الابيض المتوسط والمحيط الاطلسي,2
1,الموقع الجغرافي لبلاد المغرب,المغرب بلد عربي يقع الشمال الشرقي لافريقيا يمتد علي سواحل البحر الابيض المتوسط والمحيط الاطلسي,2
1,الموقع الجغرافي لبلاد المغرب,بلد المغرب يوجد الشمال الشرقي افريقيا وتمتد سواحله علي البحر الابيض المتوسط والمحيط الاطلسي,2
1,الموقع الجغرافي لبلاد المغرب,الشمال الشرقي لافريقيا يضم المغرب يمتد علي سواحل البحر الابيض المتوسط والمحيط الاطلسي,2
1,الموقع الجغرافي لبلاد المغرب,المغرب بلد عربي يتمركز الشمال الشرقي قاره افريقيا تحيط مياه البحر الابيض المتوسط والمحيط الاطلسي,2
1,الموقع الجغرافي لبلاد المغرب,المغرب دوله عربيه تقع علي ساحل البحر الاطلسي غرب افريقيا,2
1,الموقع الجغرافي لبلاد المغرب,يقع المغرب غرب افريقيا ويحده المحيط الاطلسي الغرب,2
1,الموقع الجغرافي لبلاد المغرب,الشاطء الاطلسي المكان تقع المملكه المغربيه غرب قاره افريقيا,2
1,الموقع الجغرافي لبلاد المغرب,المغرب دوله توجد علي ساحل البحر الاطلسي غرب افريقياويمتد الي الشمال البحر المتوسط,2
1,الموقع الجغرافي لبلاد المغرب,المغرب دوله عربيه تقع علي ساحل البحر الاطلسي غرب افريقيا,2
1,الموقع الجغرافي لبلاد المغرب,بلاد المغرب دوله امريكا الجنوبيه,0
1,الموقع الجغرافي لبلاد المغرب,المغرب اسم لاحدي الجزر الواقعه المحيط الهادء,0
1,الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب قاره اسيا,0
1,الموقع الجغرافي لبلاد المغرب,المغرب اسم لاحدي الدول الاوروبيه,0
1,الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع قاره امريكا الشماليه,0
1,الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع المحيط الهندي,0
1,الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب قاره امريكا الجنوبيه,0
1,الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع قاره استراليا,0
1,الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع القطب الشمالي,0
1,الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب امريكا الجنوبيه,0
1,الموقع الجغرافي لبلاد المغرب,المغرب اسم لاحدي الجزر الواقعه المحيط الاطلسي,0
1,الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع قاره اوروبا,0
1,الموقع الجغرافي لبلاد المغرب,المغرب قلب الصحراء الكبري,0
1,الموقع الجغرافي لبلاد المغرب,المغرب جزء استراليا,0
1,الموقع الجغرافي لبلاد المغرب,المغرب جنوب امريكا الوسطي,0
1,الموقع الجغرافي لبلاد المغرب,المغرب القطب الجنوبي,0
1,الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع القطب الشمالي,0
1,الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب الصين,0
1,الموقع الجغرافي لبلاد المغرب,لاد المغرب تقع جنوب شرق اسيا,0
1,الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب الصين,0
1,الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع افريقيا الوسطي,0
1,الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع المحيط الاطلسي,0
1,الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب روسيا,0
1,الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب جزر البهاما,0
1,الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع امريكا,0
1,الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب جنوب افريقيا,0
1,الموقع الجغرافي لبلاد المغرب,الموقع الجغرافي لبلاد المغرب شرق افريقيا,0
1,الموقع الجغرافي لبلاد المغرب,بلاد المغرب تقع شرق اوروبا,0
1,الموقع الجغرافي لبلاد المغرب,الساحل الغربي لاستراليا,0
1,الموقع الجغرافي لبلاد المغرب,المحيط الهادي بالقرب جزر هاواي,0
1,الموقع الجغرافي لبلاد المغرب,قلب اوروبا بالقرب فرنسا,0
1,الموقع الجغرافي لبلاد المغرب,المغرب يقع غرب افريقيا علي الساحل الغربي للقاره الافريقيه,1
1,الموقع الجغرافي لبلاد المغرب,المغرب يقع منطقه المغرب العربي غرب افريقيا ويحده الشرق الجزاءر الغرب المحيط الاطلسي,2
1,الموقع الجغرافي لبلاد المغرب,المغرب يقع غرب افريقيا علي الساحل الغربي للقاره الافريقيه ويحده الشرق الجزاءر,2
1,الموقع الجغرافي لبلاد المغرب,المغرب يقع غرب افريقيا علي الساحل الغربي للقاره الافريقيه ويحده الشرق الجزاءر الغرب المحيط الاطلسي,2
1,الموقع الجغرافي لبلاد المغرب,المغرب يقع غرب قاره افريقيا علي ساحل البحر الاطلسي,1
1,الموقع الجغرافي لبلاد المغرب,قرب اسبانيا,1
1,الموقع الجغرافي لبلاد المغرب,الاطلسي والمتوسط,1
1,الموقع الجغرافي لبلاد المغرب,جنوب اوروبا,1
1,الموقع الجغرافي لبلاد المغرب,المغرب العربي,1
1,الموقع الجغرافي لبلاد المغرب,بجوار الجزاءر,1
1,الموقع الجغرافي لبلاد المغرب,يطل علي المحيط الاطلسي,1
1,الموقع الجغرافي لبلاد المغرب,يحده المحيط الاطلسي الغرب,1
1,الموقع الجغرافي لبلاد المغرب,يحده البحر الابيض المتوسط الشمال,1
1,الموقع الجغرافي لبلاد المغرب,المغرب يقع الزاويه الشماليه الغربيه افريقيا,1
1,الموقع الجغرافي لبلاد المغرب,المغرب يقع علي الساحل الشمالي للقاره الافريقيه,1
1,الموقع الجغرافي لبلاد المغرب,المغرب يقع القسم الشمالي قاره افريقيا,1
1,الموقع الجغرافي لبلاد المغرب,تقع بلاد المغرب افريقيا,1
1,الموقع الجغرافي لبلاد المغرب,تحده المحيط الاطلسي الغرب والمتوسط الشمال,1
1,الموقع الجغرافي لبلاد المغرب,المغرب يقع الجزاءر وموريتانيا,1
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,المسجد الاعظم,0
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,يوجد مسجد الحسن الثاني الدار البيضاء الاكبر افريقيا,2
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,موجود اكبر مسجد افريقيا الدار البيضاء يعرف باسم مسجد الحسن الثاني,2
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,المسجد الاكبر افريقيا يتواجد الدار البيضاء مشهور بلقب مسجد الحسن الثاني,2
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,مسجد الحسن الثاني يقع الدار البيضاء الاكبر نوعه افريقيا,2
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,الدار البيضاء الموقع يقع مسجد الحسن الثاني يعد الاكبر افريقيا,2
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,مسجد الحسن الثاني يعد الاكبر افريقيا يقع الدار البيضاء,2
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,الدار البيضاء الموقع يتواجد مسجد الحسن الثاني المسجد الاكبر افريقيا,2
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,مسجد الحسن الثاني الموجود الدار البيضاء الاكبر نوعه افريقيا ويعرف باسم مسجد الحسن الثاني,2
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,يتميز مسجد الحسن الثاني بانه الاكبر افريقيا ويقع الدار البيضاء,2
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,يتواجد اكبر مسجد افريقيا الدار البيضاء ويتمتع بشهره كبيره اسم مسجد الحسن الثاني,2
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,المسجد الاكبر افريقيا يتميز بوجوده الدار البيضاء ويطلق اسم مسجد الحسن الثاني,2
2,اين يوجد اكبر مسجد افريقيا الاسم الاشهر,موقع اكبر مسجد افريقيا يقع الدار البيضاء ويعرف بمسجد الحسن الثاني,2
